Keyboard,Compatibility,Protocol / ecosystem,Connection stage,Evidence / caveats,Source URLs,Researched
Wooting HE80,Not currently compatible,Wooting 80HE; Wootility (vendor web/desktop configurator),No OpenKeeb spoke: configuration stops after generic USB/HID enumeration; a Wooting protocol adapter would be required.,"The listed model appears to be the Wooting 80HE. Its official quickstart routes remapping and firmware updates through Wootility Web or the desktop app; no QMK, VIA, or Vial path is documented.",https://wooting.io/quickstart/keyboard/wooting-80he/prebuilt ; https://github.com/roethlar/AMKB-GUI/blob/v2/openkeeb/docs/superpowers/plans/2026-08-15-openkeeb-v2-hub-configurator.md,2026-08-16
Keychron Q6 HE QMK,Planned H3 VIA support for keymaps; Hall-effect controls need qualification,QMK + VIA dynamic keymap; Keychron Launcher extensions,"H3 (not started): wired USB → VIA identity/JSON definition → keymap and macro read/write. Actuation, rapid-trigger, and other HE settings need Keychron-specific protocol work beyond generic VIA.","Keychron calls the board QMK/Launcher, requires wired mode for Launcher, and its official firmware enables VIA and ships per-layout VIA JSON definitions.",https://www.keychron.com/products/keychron-q6-he-qmk-wireless-custom-keyboard ; https://github.com/Keychron/qmk_firmware/blob/2025q3/keyboards/keychron/q6_he/ansi_encoder/keymaps/keychron/rules.mk ; https://github.com/Keychron/qmk_firmware/blob/2025q3/keyboards/keychron/q6_he/via_json/q6_he_ansi_encoder.json ; https://github.com/roethlar/AMKB-GUI/blob/v2/openkeeb/docs/superpowers/plans/2026-08-15-openkeeb-v2-hub-configurator.md,2026-08-16
Drop Alt,Planned H3 VIA support; firmware-dependent,QMK + VIA when VIA-capable firmware is installed; some stock revisions use Drop/XAP,"H3 (not started): wired USB → VIA definition match → dynamic keymap/macro read/write. If the installed firmware exposes only Drop/XAP, connection stops before the VIA handshake; OpenKeeb will not flash firmware.",The official VIA definitions repository has separate Drop ALT V1 and V2 definitions. Exact PCB and installed firmware must be identified before treating the board as VIA-compatible.,https://github.com/the-via/keyboards/tree/master/v3/drop/alt ; https://helpdesk.drop.com/hc/en-us/articles/44444294801041-How-to-Configure-your-ALT-Keyboard ; https://github.com/roethlar/AMKB-GUI/blob/v2/openkeeb/docs/superpowers/plans/2026-08-15-openkeeb-v2-hub-configurator.md,2026-08-16
Drop Ctrl,Planned H3 VIA support; firmware-dependent,QMK + VIA when VIA-capable firmware is installed; some stock revisions use Drop/XAP,"H3 (not started): wired USB → VIA definition match → dynamic keymap/macro read/write. If the installed firmware exposes only Drop/XAP, connection stops before the VIA handshake; OpenKeeb will not flash firmware.",The official VIA definitions repository has separate Drop CTRL V1 and V2 definitions. Exact PCB and installed firmware must be identified before treating the board as VIA-compatible.,https://github.com/the-via/keyboards/tree/master/v3/drop/ctrl ; https://helpdesk.drop.com/hc/en-us/articles/44444057868305-How-to-Configure-your-Drop-Keyboard ; https://github.com/roethlar/AMKB-GUI/blob/v2/openkeeb/docs/superpowers/plans/2026-08-15-openkeeb-v2-hub-configurator.md,2026-08-16
Mountain Everest Max,Not currently compatible,MOUNTAIN Base Camp (vendor protocol; Windows-only software),No OpenKeeb spoke: configuration stops after USB enumeration; a vendor-protocol adapter and identity/write-safety model would be required.,"MOUNTAIN documents Base Camp as the supported configuration and firmware-update path, including macros and up to five onboard profiles. No QMK, VIA, or Vial support is documented.",https://mountain.gg/keyboards/everest-max/ ; https://github.com/roethlar/AMKB-GUI/blob/v2/openkeeb/docs/superpowers/plans/2026-08-15-openkeeb-v2-hub-configurator.md,2026-08-16
Mode Eighty,Planned H3 VIA support; high confidence for supported PCBs,QMK + VIA,H3 (not started): wired USB → VIA definition/VID-PID match → dynamic keymap and macro read/write. Confirm the PCB revision before connection.,"Mode's Eighty build guide says the board is fully compatible with VIA and QMK, and the VIA definitions repository includes M80H and M80S definitions. PCB revision still matters.",https://modedesigns.com/pages/eighty-guide-2022 ; https://github.com/the-via/keyboards/blob/master/v3/mode/m80h/m80v1h.json ; https://github.com/roethlar/AMKB-GUI/blob/v2/openkeeb/docs/superpowers/plans/2026-08-15-openkeeb-v2-hub-configurator.md,2026-08-16
Flux Keyboard,Not currently compatible,Flux Polymath (vendor protocol),"No OpenKeeb spoke: USB connection may enumerate, but configuration stops before vendor identity/profile exchange; a Polymath-compatible protocol adapter would be required.","Flux documents Polymath as the software that maintains keyboard communication and manages profiles, themes, actuation, keymaps, layers, macros, modules, and device settings. No QMK, VIA, or Vial path is documented.",https://fluxkeyboard.com/documentation/ ; https://github.com/roethlar/AMKB-GUI/blob/v2/openkeeb/docs/superpowers/plans/2026-08-15-openkeeb-v2-hub-configurator.md,2026-08-16
Mode Loop,"Planned H3 VIA path, but definition availability must be resolved",VIA/QMK per Mode build guide,"H3 (not started): wired USB → obtain/validate the exact VIA definition → identity match → dynamic keymap/macro read/write. Without a matching definition, connection stops at definition resolution.","Mode's Loop guide instructs testing in VIA and has a Program Keymap in VIA/QMK step. No matching Mode Loop entry was found in the public VIA or upstream QMK repositories during this research, so the exact PCB definition remains a prerequisite.",https://modedesigns.com/pages/loop-guide ; https://github.com/search?q=repo%3Athe-via%2Fkeyboards+%22Mode+Loop%22&type=code ; https://github.com/roethlar/AMKB-GUI/blob/v2/openkeeb/docs/superpowers/plans/2026-08-15-openkeeb-v2-hub-configurator.md,2026-08-16
Angry Miao AM AFA2,Supported now,AM serial protocol; ALICE family identifier,Current AM spoke: serial discovery → ALICE family identity → read keymap/macros/lighting; writes remain model-matched and typed-confirmation-gated.,"AM Configurator's support matrix lists AM AFA / AFA 2 with the ALICE identifier, up to seven layers, 32 macros, and Alice/body lighting.",https://github.com/roethlar/AMKB-GUI#supported-keyboards--operating-systems,2026-08-16
Angry Miao AM Neon 80,Supported now,Vial over raw HID plus AM Neon-specific lighting/profile handling,Current HID path: discover → VID/PID and vial serial check → embedded definition/name identity gate → read. Writes require typed model confirmation and the keyboard's Esc+F2 physical unlock.,"AM Configurator lists NEON80 support for four keymap layers, 16 macros, and its lighting surfaces. Linux also requires the documented one-time hidraw permission rule.",https://github.com/roethlar/AMKB-GUI#supported-keyboards--operating-systems ; https://github.com/roethlar/AMKB-GUI/blob/v2/openkeeb/docs/neon-80-linux.md,2026-08-16
